LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2140,2140,11,-1.0,113.26917810685364,122.06184566157977,0.0,3555.0,237,5.0,1,,139.52843846949241,141.0,51.0,202.0,944468.0,21.280689060518455,111.91372433151022,103.0,0.0,255.0,757544.0,50.528398282061296,-0.03161506636996317,-0.4281077769980855,0.07371073015776401,0.30410336985529657
ID2134,2134,11,-1.0,116.1758450670937,131.36317993434784,0.0,0.0,0,5.0,1,,149.85064263554474,149.0,84.0,205.0,1014339.0,19.323716731651608,113.61899837494434,103.0,0.0,255.0,769087.0,44.19856735803291,0.02588890825653711,0.3913914598166685,0.05963267762785663,0.28933550301774574
ID2152,2152,12,-1.0,97.1371764775215,70.17784042129522,0.0,1965.0,131,5.0,1,,137.57320135913687,137.0,73.0,200.0,931233.0,18.991988398646157,99.36844437878953,95.0,0.0,255.0,672625.0,39.815307762568445,-0.04254902898861199,-0.6438230371072712,0.0537324357729687,0.25452742811751744
ID2155,2155,12,-1.0,98.88117665366552,70.46850711731922,0.0,2130.0,142,5.0,1,,137.0404786526821,136.0,71.0,207.0,927627.0,20.026588815415714,95.74161619146398,91.0,4.0,255.0,648075.0,34.40653794322551,-0.047581797148885614,-0.6837306292465679,0.04489544640609844,0.23912183376524396
ID2149,2149,12,-1.0,101.35184356986953,66.54450672099517,0.0,0.0,0,5.0,1,,140.97281725513372,141.0,76.0,222.0,954245.0,17.59376685498583,98.16959669080036,91.0,0.0,255.0,664510.0,38.89674475848933,-0.030977799306532168,-0.512298845061431,0.05328557210545182,0.2553625715538047
ID2159,2159,12,-1.0,95.24784295336546,69.45117368123522,0.0,2235.0,149,5.0,1,,140.4136504653564,139.0,73.0,227.0,950460.0,20.356528809546848,105.13665238587777,103.0,0.0,255.0,711670.0,31.782562732030804,-0.025374848439933435,-0.3591711489421891,0.052134408573347106,0.3278298196823971
ID2169,2169,13,-1.0,178.23318466821834,88.05384222677141,0.0,2850.0,190,5.0,1,,146.17964248781323,147.0,50.0,242.0,989490.0,31.24852609936671,93.55118924509014,87.0,0.0,255.0,633248.0,41.060168387780735,-0.018071844305850942,-0.17219086849222887,0.0848950136677879,0.3565767741935002
ID2163,2163,13,-1.0,182.30251841255435,89.21650901086741,0.0,0.0,0,5.0,1,,147.5582803959204,147.0,91.0,210.0,998822.0,17.956537602472494,95.79583394888787,87.0,0.0,255.0,648442.0,41.50683501084838,0.0028972149028653645,0.047478311668354485,0.0782170591237832,0.3348515268854003
ID2173,2173,13,-1.0,177.0705178841223,87.6178421827354,0.0,2955.0,197,5.0,1,,141.8072093366826,146.0,40.0,253.0,959893.0,38.13511309923054,93.12970896735341,87.0,0.0,255.0,630395.0,40.98821061603619,-0.05115537930614272,-0.40095854824808524,0.0891865657976813,0.37209723909442616
ID2166,2166,13,-1.0,177.0705178841223,89.79784240291542,0.0,1635.0,109,5.0,1,,146.2885211995844,146.0,60.0,233.0,990227.0,22.173276350508406,93.67794356626091,87.0,0.0,255.0,634106.0,42.136499870092365,-0.014491680268181291,-0.19402997345300202,0.07701185073909868,0.31794058213443066
